nama_sekolah,alamat,akreditasi
SDN Kwitang 01 Pg.,Jl. Kramat III Gg. Listrik I,A
SDN Lagoa 05 Pg.,Jl. Menteng No. 2-4,A
SDN Lagoa 11 Pg.,Jl. Lagoa Terusan Gg. IV D-1 No. 1,A
SDN Lebak Bulus 01 Pg.,Jl . Gunung Balong,A
SDN Lebak Bulus 02 Pg.,Jl. Pertanian Raya No. 59,A
SDN Lebak Bulus 03 Pg.,Jl. Pertanian III No. 58,A
SDN Lebak Bulus 04 Pg.,Jl. Puskesmas,A
SDN Lebak Bulus 05 Pg.,Jl. Puskesmas,A
SDN Lebak Bulus 06 Pg.,Jl. Gunung Balong,A
SDN Lebak Bulus 07 Pg.,Jl. Gunung Balong,A
SDN Lenteng Agung 01 Pg.,Jl. Lontar RT004/RW03 No. 37,A
SDN Lenteng Agung 03 Pg.,Jl. Lontar Lenteng Agung No. 38,A
SDN Lenteng Agung 04 Pt.,Jl. Lontar No. 38,A
SDN Lenteng Agung 05 Pg.,Jl. Agung Raya II,A
SDN Lenteng Agung 07 Pg.,Jl. Raya Depok Gang Subur,A
SDN Lenteng Agung 08 Pt.,Jl. Raya Depok Gang Subur RT009/RW08,A
SDN Lenteng Agung 10 Pg.,Jl. Joe,A
SDN Lenteng Agung 11 Pg.,Jl. Waspada II,A
SDN Lubang Buaya 01 Pg.,Jl. Yusufiah,A
SDN Lubang Buaya 02 Pt.,Jl. Yusufiah RT010/RW01,A
SDN Lubang Buaya 03 Pg.,Jl. Rawa Binong RT004/RW06,A
SDN Lubang Buaya 04 Pg.,Jl. Monumen Pancasila Sakti No. 12,A
SDN Lubang Buaya 05 Pg.,Jl. Yusufiah RT010/RW01,A
SDN Lubang Buaya 06 Pg.,Jl. Kramat IV,A
SDN Lubang Buaya 12 Pg.,Jl. Albaidho II,A
SDN Makasar 01 Pg.,Jl. Kerja Bakti,A
SDN Makasar 02 Pt.,Jl. Kerja Bakti,A
SDN Makasar 03 Pg.,Jl. Kerja Bakti,A
SDN Makasar 04 Pt.,Jl. Kerja Bakti,A
SDN Makasar 06 Pg.,Jl. Pusdiklat Depnaker No. 1,A
SDN Makasar 07 Pg.,Jl. Pusdiklat Depnaker,A
SDN Malaka Jaya 01 Pg.,Jl. Bunga Rampai Raya,A
SDN Malaka Jaya 03 Pt.,Jl. Bunga Rampai Raya,A
SDN Malaka Jaya 04 Pg.,Jl. Mawar Merah VI,A
SDN Malaka Jaya 05 Pg.,Jl. Mawar Merah VI,A
SDN Malaka Jaya 07 Pg.,Jl. Mawar Merah VI,A
SDN Malaka Jaya 08 Pg.,Jl. Mawar Merah VII No. 45,A
SDN Malaka Jaya 09 Pg.,Jl. Raya Bunga Rampai,A
SDN Malaka Jaya 10 Pg.,Jl. Nusa Indah III,A
SDN Malaka Jaya 12 Pg.,Jl. Nusa Indah IV No. 40-41,A
SDN Malaka Jaya 19 Pg.,Jl. Raya Bunga Rampai,A
SDN Malaka Sari 01 Pg.,Jl. Malaka III,A
SDN Malaka Sari 02 Pg.,Jl. Malaka II,A
SDN Malaka Sari 03 Pg.,Jl. Delima II No. 47,A
SDN Malaka Sari 04 Pg.,Jl. Malaka III,A
SDN Malaka Sari 05 Pg.,"Perumnas Klender, Jl. Delima II No. 39",A
SDN Malaka Sari 14 Pg.,Jl. Malaka III RT08/RW06,A
SDN Mampang Prapatan 01 Pg.,Jl. Tegal Parang Utara III,A
SDN Mampang Prapatan 02 Pg.,Jl. Mampang Prapatan IV No. 5,A
SDN Mampang Prapatan 05 Pg.,Jl. K. Tendean Gg. Kamboja No. 44,A
SDN Mangga Besar 01 Pg.,Jl. Sekolah Tangki No. 141,A
SDN Mangga Besar 03 Pg.,Jl. Sekolah Tangki No. 141,A
SDN Mangga Besar 11 Pg.,Jl. Gedong No. 16,A
SDN Mangga Besar 15 Pg.,Jl. Blustru No. 5,A
SDN Manggarai 01 Pg.,Jl. Manggarai Utara I No. 6,A
SDN Manggarai 05 Pg.,Jl. Swadaya I RT013/RW09,A
SDN Manggarai 07 Pg.,Jl. Swadaya I,A
SDN Manggarai 09 Pg.,Jl. Manggarai Selatan II,A
SDN Manggarai 11 Pg.,Jl. Manggarai Selatan II,A
SDN Manggarai 15 Pg.,Jl. Manggarai Selatan II,A
SDN Maphar 01 Pg.,Jl. Kebun Jeruk VII No. 5,A
SDN Maphar 02 Pg.,Jl. Kebun Jeruk VII No. 5,A
SDN Marunda 01 Pg.,Jl. Marunda Baru No. 16,A
SDN Menteng 01 Pg.,Jl. Besuki No. 4,A
SDN Menteng Atas 01 Pg.,Jl. Dr. Saharjo No. 121,A
SDN Menteng Atas 05 Pg.,Jl. Muria No. 43,A
SDN Menteng Atas 14 Pg.,Jl. Minangkabau Dalam,A
SDN Menteng Atas 21 Pg.,Jl. Menteng Pulo Ujung,A
SDN Menteng Dalam 01 Pg.,"Jl. Menteng Pulo II, Casablanca",A
SDN Menteng Dalam 02 Pg.,"Jl. Menteng Pulo II, Casablanca",A
SDN Menteng Dalam 05 Pg.,Jl. Prof. Soepomo SH,A
SDN Menteng Dalam 07 Pg.,Jl. Flamboyan I,A
SDN Merdeka Timur 01 Pg,Jl. Medan Merdeka Timur No. 14,A
SDN Meruya Selatan 01 Pg.,Jl. H. Juhri,A
SDN Meruya Selatan 02 Pt.,Jl. H. Djuhri RT003/RW02,A
SDN Meruya Selatan 06 Pg.,Jl. Lap. Jabeg Mega Kebon Jeruk No. 112,A
SDN Meruya Selatan 08 Pt.,Jl. H. Saaba RT002/RW02,A
SDN Meruya Utara 02 Pg.,Jl. Raya Meruya Selatan,A
SDN Meruya Utara 03 Pg.,Jl. Sanggrahan,A
SDN Meruya Utara 05 Pg.,Jl. Meruya Utara,A
SDN Meruya Utara 13 Pg.,Jl. Taman Aries Blok F No. 12,A
SDN Meruya Utara 15 Pt.,Jl. Aries Utama Blok F No. 12,A
SDN Munjul 01 Pg.,Jl. Dalang,A
SDN Munjul 02 Pg.,Jl. Dalang,A
SDN P Mangga Dua Selatan 05 Pg.,"Jl. Mangga Besar XIIIA, Mangga Dua Selatan",A
SDN Pademangan Barat 01 Pg.,Jl. Ampera III Gn. Sahari,A
SDN Pademangan Barat 03 Pg.,Jl. Hidup Baru I No. 101,A
SDN Pademangan Barat 04 Pt.,Jl. Hidup Baru I No. 101,A
SDN Pademangan Barat 05 Pg.,Jl. Satria 12 C,A
SDN Pademangan Barat 09 Pg.,Jl. Budi Mulia,A
SDN Pademangan Barat 11 Pg.,Jl. Budimulia,A
SDN Pademangan Barat 13 Pt.,Jl. Hidup Baru I No. 101,A
SDN Pademangan Timur 01 Pg.,Jl. Pademangan II Gg. 22,A
SDN Pademangan Timur 02 Pt.,Jl. Pademangan II Gg. 22 No. 34,A
SDN Pademangan Timur 03 Pg.,Jl. Pademangan VI Gg. 34,A
SDN Pademangan Timur 06 Pg.,Jl. Pademangan VI Gg. 36,A
SDN Pademangan Timur 09 Pg.,Jl. Pademangan Timur VI No. 78,A
SDN Pademangan Timur 10 Pt.,Jl. Pademangan VI RT04/RW10 No. 78,A
SDN Palmerah 01 Pg.,Jl. Palmerah Utara No. 80,A
SDN Palmerah 03 Pg.,Jl. Palmerah Utara No. 80,A
SDN Palmerah 05 Pg.,Jl. Palmerah Utara No. 80,A
SDN Palmerah 09 Pg.,Jl. Palmerah Barat No. 45,A
SDN Palmerah 13 Pg.,Jl. Palmerah Barat II,A
SDN Palmerah 15 Pg.,Komp. Sandang,A
SDN Palmerah 17 Pg.,Komp. Sandang,A
SDN Palmerah 19 Pg.,Jl. Rawa Belong II Blok E,A
SDN Palmerah 20 Pg.,Jl. Rawa belong II Blok E,A
SDN Palmerah 22 Pg.,Jl. Palmerah Barat VI,A
SDN Palmerah 23 Pg.,Jl. Rawa Belong II Blok E No. 153,A
SDN Palmerah 25 Pg.,Jl. Kemanggisan Pulo,A
SDN Palmeriam 01 Pg.,Jl. Kayumanis I Lama,A
SDN Palmeriam 03 Pg.,Jl. Kayumanis I Lama,A
SDN Pancoran 01 Pg.,Jl. Komp. Triloka MBAU Panc.,A
SDN Pancoran 03 Pg.,Jl. Pancoran Timur II Blok B No. 21,A
SDN Pancoran 07 Pg.,Jl. Pancoran Barat VIII No. A,A
SDN Pancoran 08 Pg.,Jl. Pancoran Barat VIII,A
SDN Pancoran 10 Pg.,Jl. Pancoran Barat VIII,A
SDN Papanggo 01 Pg.,Jl. Papanggo III No. 53,A
SDN Pasar Baru 07 Pg.,Jl. Krekot Bunder III No. 1,A
SDN Pasar Baru 09 Pg.,"Jl. Krekot Bunder III No. 1, Pasar Baru",A
SDN Pasar Baru 13 Pg.,"Jl. Pintu Besi I No. 42, Pasar Baru",A
SDN Pasar Manggis 01 Pg.,Jl. Menteng Granit VII,A
SDN Pasar Manggis 02 Pt,Jl. Menteng Granit VII No. 5,A
SDN Pasar Manggis 03 Pg.,Jl. Sawah Lunto No. 56,A
SDN Pasar Minggu 01 Pg.,Jl. Mujair I Rawa Bambu No. 5,A
SDN Pasar Minggu 02 Pg.,Jl. Palapa Raya No. 4,A
SDN Pasar Minggu 03 Pg.,Jl. Mujair I Rawa Bambu,A
SDN Pasar Minggu 05 Pg.,Jl. Rawa Bambu I,A
SDN Paseban 05 Pg.,Jl. Kramat Sawah VI,A
SDN Paseban 07 Pg.,Jl. Salemba Tengah No. 278C,A
SDN Pegadungan 01 Pg.,Jl. Peta Barat No. 47,A
SDN Pegadungan 05 Pg.,Jl. Peta Utara III No. 47,A
SDN Pegadungan 07 Pg.,Jl. Irigasi Rawa Lele,A
SDN Pegadungan 11 Pg.,Jl. Peta Utara No. 10,A
SDN Pegadungan 12 Pg.,Jl. Kumbang Raya Rawalele No. 54,A
SDN Pegadungan 13 Pg.,Jl. Utan Jati,A
SDN Pegadungan 14 Pg.,Jl. Utan Jati,A
SDN Pegangsaan 01 Pg.,Jl. Ampiun No. 1A,A
SDN Pegangsaan Dua 05 Pg.,"Jl. Harpa II, Pengangsaan Dua, Kelapa Gading",A
SDN Pegangsaan Dua 07 Pg.,Jl. Akordion Pengangsaan Dua,A
SDN Pejagalan 01 Pg.,Jl. D. Teluk Gong,A
SDN Pejagalan 03 Pg.,Jl. Raya Teluk Gong No. 160,A
SDN Pejagalan 04 Pt.,Jl. Raya Teluk Gong No. 160,A
SDN Pejagalan 05 Pg.,Jl. Teluk Gong RT015/RW08,A
SDN Pejagalan 08 Pt.,"Teluk Gong, Jl. D",A
SDN Pejaten Barat 01 Pg.,Jl. Raya Condet Pejaten No. 16,A
SDN Pejaten Barat 03 Pg.,Jl. Buncit Raya No. 15,A
SDN Pejaten Barat 05 Pg.,Jl. Raya Pejaten,A
SDN Pejaten Barat 06 Pg.,Jl. Rambutan No. 20,A
SDN Pejaten Barat 08 Pg.,Jl. Rambutan VII No. 12,A
SDN Pejaten Barat 09 Pg.,Jl. Amil RT002/RW04,A
SDN Pejaten Barat 10 Pg.,Jl. Amil,A
SDN Pejaten Barat 11 Pg.,Jl. H. Ayub Gg. F,A
SDN Pejaten Barat 12 Pg.,Jl. Masjid Al Fajri,A
SDN Pejaten Timur 01 Pg.,Jl. Poltangan IV,A
SDN Pejaten Timur 03 Pg.,Jl. Poltangan IV,A
SDN Pejaten Timur 04 Pt.,Jl. Poltangan IV,A
SDN Pejaten Timur 05 Pg.,"Jl. Gunuk I No. 50, Pasarminggu",A
SDN Pejaten Timur 06 Pt.,Jl. Gunuk I No. 50,A
SDN Pejaten Timur 07 Pg.,Jl. Kemuning IV No. 2,A
SDN Pejaten Timur 09 Pg.,Jl. Kemuning IV,A
SDN Pejaten Timur 15 Pg.,Jl. Siaga Dharma VIII No. 19,A
SDN Pejaten Timur 17 Pg.,Jl. Masjid Baru,A
SDN Pejaten Timur 18 Pg.,Jl. Mesjid Baru,A
SDN Pekayon 01 Pg.,Jl. Raya Bogor Km. 27,A
SDN Pekayon 02 Pt.,Jl. Raya Bogor Km. 27,A
SDN Pekayon 03 Pg.,Jl. Gandaria I,A
SDN Pekayon 04 Pt.,Jl. Gandaria I,A
SDN Pekayon 05 Pg.,Komp. Asrama Mekanis Yonif 201 Jaya Yudha,A
SDN Pekayon 06 Pt.,Komp. Asrama Yonif 201 Jaya Yudha,A
SDN Pekayon 09 Pg.,Jl. Pendidikan,A
SDN Pekayon 10 Pg.,Jl. Lapan,A
SDN Pekayon 11 Pg.,Jl. Gandaria I,A
SDN Pekayon 12 Pg.,"Komp. Asrama Yonif 201 Jy, Jl. Raya Bogor Km. 28,5",A
SDN Pekayon 13 Pt.,"Jl. Raya Bogor Km. 28,5",A
SDN Pekayon 15 Pg.,Jl. Telaga,A
SDN Pekayon 16 Pg.,Jl. Swadaya,A
SDN Pekayon 18 Pg.,Jl. Tipar No. 66,A
SDN Pekojan 03 Pg.,Jl. Mesjid Pekojan No. 161-163,A
SDN Pela Mampang 01 Pg.,Jl. Bangka II Gg. 5,A
SDN Pela Mampang 02 Pt.,Jl. Bangka II Gg. 5,A
SDN Pela Mampang 03 Pg.,Jl. Pondok Karya IX No. 9A,A
SDN Pela Mampang 05 Pg.,Jl. Pondok Jaya VI No. 1,A
SDN Pela Mampang 07 Pg.,Jl. Bangka IX C No. 1,A
SDN Pela Mampang 08 Pg.,"Jl. Bangka VIII RT07/RW12, Gg. Manggis",A
SDN Pela Mampang 09 Pg.,"Jl. Bangka VIII , Gg. Manggis",A
SDN Pela Mampang 11 Pg.,Jl. Pondok Jaya VI No. 1,A
SDN Pela Mampang 12 Pg.,Jl. Bangka VII Bawah,A
SDN Pela Mampang 13 Pg.,Jl. Bangka VII Bawah,A
SDN Pela Mampang 14 Pg.,Jl. Bangka X Dalam No. 47,A
SDN Pengadegan 01 Pg.,Jl. Pengadegan Timur I,A
SDN Pengadegan 03 Pg.,Jl. Pengadegan Timur I,A
SDN Penggilingan 01 Pg.,Jl. Raya Penggilingan,A
SDN Penggilingan 02 Pt.,Jl. Raya Penggilingan,A
SDN Penggilingan 03 Pg.,Jl. Raya Penggilingan Kav. 23-24,A
SDN Penggilingan 05 Pg.,"Komp. PIK, Jl. Raya Penggilingan",A
SDN Penggilingan 06 Pt.,"Komp. PIK, Jl. Raya Penggilingan",A
SDN Penggilingan 09 Pg.,"Komp. Aneka Elok, Jl. Mentibu",A
SDN Penjaringan 01 Pg.,Jl. Luar Batang V,A
SDN Penjaringan 02 Pt.,Jl. Luar Batang V RT015/RW03,A
SDN Penjaringan 04 Pg.,Jl. Raya Pluit Selatan No. 105,A
SDN Penjaringan 05 Pt.,Jl. Raya Pluit Selatan No. 105,A
SDN Penjaringan 06 Pg.,Jl. Bandengan Utara No. 80,A
SDN Penjaringan 07 Pg.,Jl. Bandengan Utara,A
SDN Penjaringan 11 Pt.,Jl. Bandengan Utara No. 80,A
SDN Penjaringan 12 Pt.,Jl. Raya Pluit Selatan No. 105,A
SDN Pesanggrahan 01 Pg.,"Komp. Deppen, Jl. Penerangan V",A
SDN Pesanggrahan 02 Pg.,Jl. Raya Kodam Jaya Bintaro,A
SDN Pesanggrahan 03 Pg.,Jl. Raya Kodam Bintaro,A
SDN Pesanggrahan 04 Pg.,Jl. Pondok Indah No. 35,A
SDN Pesanggrahan 05 Pg.,Jl. H. Gari No. 24,A
SDN Pesanggrahan 09 Pg.,Jl. H. Garie No. 24,A
SDN Pesanggrahan 10 Pg.,"Komp. Kodam, Jl. Cenek No. 15",A
SDN Petamburan 01 Pg.,Jl. Petamburan No. 4,A
SDN Petamburan 02 Pt.,Jl. Petamburan IV,A
SDN Petamburan 03 Pg.,Jl. Petamburan IV,A
SDN Petamburan 04 Pt.,Jl. Petamburan IV No. 52,A
SDN Petamburan 05 Pg.,Jl. Petamburan II,A
SDN Petojo Selatan 01 Pg.,Jl. Tanah Abang V No. 29,A
SDN Petojo Selatan 02 Pg.,Jl. Tanah Abang V No. 29,A
SDN Petojo Utara 01 Pg.,Jl. Petojo Selatan I No. 27,A
SDN Petukangan Selatan 01 Pg.,Jl. Sangrila Indah II,A
SDN Petukangan Selatan 02 Pg.,"Jl. Sakti VII, Sangrila Indah 2",A
SDN Petukangan Selatan 03 Pg.,Jl. Kemajuan No. 47,A
SDN Petukangan Selatan 04 Pt.,Jl. Inpres,A
SDN Petukangan Selatan 05 Pg.,Jl. Inpres RT0014/RW02,A
SDN Petukangan Utara 01 Pg.,Jl. Mesjid Darul Falah,A
SDN Petukangan Utara 05 Pg.,Jl. H. Muchtar Raya,A
SDN Petukangan Utara 07 Pg.,Jl. Palem Raya,A
SDN Petukangan Utara 08 Pg.,Jl. H. Gaim,A
SDN Petukangan Utara 09 Pg.,Jl. H. Jaelani I,A
SDN Petukangan Utara 10 Pg.,Jl. H. Jaelani I,A
SDN Pinang Ranti 01 Pg.,Jl. Taman Mini Pintu II,A
SDN Pinang Ranti 02 Pg.,Jl. Pinang Ranti I,A
SDN Pinang Ranti 05 Pg.,Jl. Pinang Ranti II,A
SDN Pinang Ranti 06 Pt.,Jl. Pinang Ranti I,A
SDN Pinang Ranti 07 Pg.,Jl. Pinang Ranti II,A
SDN Pinang Ranti 09 Pg.,Kp. Pulo,A
SDN Pinangsia 01 Pg.,Jl. Pinangsia I No. 20,A
SDN Pinangsia 06 Pg.,Jl. Jembatan Batu No. 74,A
SDN Pisangan Baru 05 Pg.,Jl. Pisangan Baru Tengah,A
SDN Pisangan Baru 07 Pg.,Jl. Pisangan Baru Tengah,A
SDN Pisangan Timur 01 Pg.,Jl. Pisangan Dalam Lama I No. 38,A
SDN Pisangan Timur 12 Pg.,Jl. Haji Mugeni II,A
SDN Pisangan Timur 18 Pg.,Jl. Gading Raya I,A
SDN Pisangan Timur 19 Pg.,Jl. Gading Raya I,A
SDN Pluit 01 Pg.,Jl. Pluit Selatan I No. 1,A
SDN Pluit 03 Pg.,Jl. Komp. Nelayan Muara Angke,A
SDN Pluit 05 Pg.,Jl. Komp. Nelayan Muara Angke,A
SDN Pondok Bambu 02 Pg.,Jl. Pahlawan Revolusi,A
SDN Pondok Bambu 03 Pg.,Jl. Pahlawan Revolusi,A
SDN Pondok Bambu 04 Pg.,Jl. Cipinang Muara II,A
SDN Pondok Bambu 08 Pg.,Jl. Ori Raya No. 1-3,A
SDN Pondok Bambu 10 Pg.,Jl. Buluh Perindu Raya No. 25,A
SDN Pondok Bambu 11 Pg.,Jl. Taruna Pahlawan Revolusi,A
SDN Pondok Bambu 13 Pg.,Jl. Balai Rakyat III,A
SDN Pondok Bambu 15 Pg.,Jl. Balai Rakyat III No. 15,A
SDN Pondok Bambu 17 Pg.,Jl. Cipinang Muara II,A
SDN Pondok Kelapa 01 Pg.,"Jl. Tipar Kav. DKI, Pondok Kelapa, Jakarta Timur",A
SDN Pondok Kelapa 02 Pt.,"Jl. Tipar Kav. DKI, Pondok Kelapa",A
SDN Pondok Kelapa 03 Pg.,Jl. Tipar Kav. DKI,A
SDN Pondok Kelapa 04 Pg.,Jl. Tipar Kav. DKI,A
SDN Pondok Kelapa 05 Pg.,Jl. Haji Naman No. 77,A
SDN Pondok Kelapa 06 Pg.,Jl. AD. Lampiri Raya,A
SDN Pondok Kelapa 07 Pg.,"Komp. Perum Karyawan DKI, Pondok Kelapa",A
SDN Pondok Kelapa 08 Pt.,Jl. Tipar Kav. DKI,A
SDN Pondok Kelapa 09 Pg.,Komp. Perum Karyawan DKI,A
SDN Pondok Kelapa 10 Pg.,Jl. Raya Pondok Kelapa Jaya Gas,A
SDN Pondok Kelapa 11 Pt.,Jl. Komp. DKI Blok M,A
SDN Pondok Kelapa 12 Pt.,Komp. Perum Karyawan DKI,A
SDN Pondok Kopi 03 Pg.,Jl. Rawa Jaya,A
SDN Pondok Kopi 04 Pg.,Jl. Robusta Raya,A
SDN Pondok Kopi 05 Pt.,Jl. Rawa Jaya RT006/RW04,A
SDN Pondok Kopi 07 Pg.,Jl. Bina Karya I,A
SDN Pondok Kopi 08 Pg.,JL. ROBUSTA RAYA BLOK P.5,A
SDN Pondok Labu 01 Pg.,Jl. R S Fatmawati No. 178,A
SDN Pondok Labu 02 Pg.,Jl. Swakarya Bawah,A
SDN Pondok Labu 03 Pg.,Jl. H. Saleh No. 37,A
SDN Pondok Labu 04 Pg.,Jl. H. Saleh No. 37,A
SDN Pondok Labu 05 Pg.,Jl. R S Fatmawati No. 189,A
SDN Pondok Labu 06 Pg.,Jl. Swakarya Bawah No. 8,A
SDN Pondok Labu 07 Pg.,"Komp. TNI AL, Jl. Ambalun No. 1",A
SDN Pondok Labu 08 Pt.,Jl. Ambalun No. 1,A
SDN Pondok Labu 10 Pg.,Jl. H. Saleh No. 37,A
SDN Pondok Labu 11 Pg.,"Komp. Timah, Jl. Margasatwa No. 11",A
SDN Pondok Labu 13 Pg.,"Jl. Bango II, Pondok Labu",A
SDN Pondok Labu 14 Pg.,Jl. Bango IV,A
SDN Pondok Labu 15 Pg.,Jl. Andara I,A
SDN Pondok Labu 16 Pg.,Jl. Pondok Labu I/ A,A
SDN Pondok Pinang 01 Pg.,Jl. Pondok Pinang Raya No. 19,A
SDN Pondok Pinang 02 Pt.,Jl. Pondok Pinang Raya,A
SDN Pondok Pinang 03 Pg.,Jl. Pondok Pinang Raya,A
SDN Pondok Pinang 04 Pt.,Jl. Pondok Pinang Raya No. 3,A
SDN Pondok Pinang 05 Pg.,Jl. Ciputat Raya Gg. SD III,A
SDN Pondok Pinang 08 Pg.,Jl. Subur,A
SDN Pondok Pinang 09 Pg.,Jl. Subur,A
SDN Pondok Pinang 10 Pg.,"Komp. PU, Jl. Raya Pasar Jum'at",A
SDN Pondok Ranggon 02 Pg.,Jl. Raya Pondok Ranggon,A
SDN Pondok Ranggon 03 Pg.,Jl. Raya TPU RT001/RW02,A
SDN Pondok Ranggon 05 Pg.,Jl. Masjid Al Akbar,A
SDN Pondok Ranggon 06 Pt.,Jl. Raya TPU RT001/RW02,A
SDN Pondok Ranggon 07 Pt.,Jl. Raya Pondok Ranggon,A
SDN Pulau Kelapa 01 Pg.,Jl. Dermaga Utama Pulau Kelapa,A
SDN Pulau Kelapa 02 Pg.,Pulau Kelapa,A
SDN Pulau Panggang 02 Pg.,Pulau Panggang RT003/RW05,A
SDN Pulau Tidung 01 Pg.,Jl. Kampung Baru,A
SDN Pulau Tidung 03 Pg.,Jl. Pendidikan,A
SDN Pulo 01 Pg.,Jl. Jembatan Selatan Blok A,A
SDN Pulo 03 Pg.,Jl. Jembatan Selatan,A
SDN Pulo 05 Pg.,Jl. Jembatan Selatan,A
SDN Pulo 07 Pg.,Jl. Brawijaya 12,A
SDN Pulo 09 Pg.,Jl. Jembatan Selatan,A
SDN Pulogadung 01 Pg.,Jl. Kemuning II,A
SDN Pulogadung 05 Pg.,Jl. Kayu Putih IV No. 3,A
SDN Pulogadung 06 Pt.,Jl. Kayu Putih IV No. 3,A
SDN Pulogadung 08 Pt.,Jl. Kayu Putih I No. 41,A
SDN Pulogadung 09 Pg.,Jl. Kayu Putih I No. 41,A
SDN Pulogadung 10 Pt.,Jl. Kayu Putih I No. 41,A
SDN Pulogebang 01 Pg.,Jl. Raya Pulo Gebang Km. 2,A
SDN Pulogebang 02 Pg.,Jl. Raya Pulo Gebang Km. 2,A
SDN Pulogebang 06 Pg.,Jl. P. Komaruddin Ujung Krawang,A
SDN Pulogebang 08 Pg.,P. Komarudin RT009/RW05,A
SDN Pulogebang 09 Pg.,Jl. P. Komarudin,A
SDN Pulogebang 10 Pt.,Jl. Raya Pulo Gebang Km. 2,A
SDN Pulogebang 11 Pg.,Jl. H. Hasan,A
SDN Pulogebang 12 Pt.,Jl. Rawa Bebek,A
SDN Pulogebang 13 Pg.,Jl. Rawa Kuning,A
SDN Pulogebang 16 Pt.,Jl. Raya Pulo Gebang Km. 2,A
SDN Pulogebang 20 Pg.,Jl. Palad Rawa Kuning,A
SDN Pulogebang 21 Pg.,Jl. H. Hasan,A
SDN Pulogebang 22 Pt.,Jl. Rawa Bebek,A